Name,Profile URL,Role,Sweet Spot,Investors
Ozge Oz,file:///investors/ozge-oz,Partner,$300K,"Investors in AgTech, Investors in AI, Investors in Developer tools, Investors in Distributed workforce, Investors in Diverse Investors (Other Lists), Investors in Enterprise, Investors in Fintech, Investors in Logistics, Investors in Marketplaces, Investors in Real estate/proptech, Investors in SaaS, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)
+10"
bong koh,file:///investors/bong-koh,Partner,$100K,"Investors in AgTech, Investors in AI, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Clean tech / environment, Investors in Diverse Investors (Other Lists), Investors in Education, Investors in Energy tech, Investors in Enterprise, Investors in Health IT, Investors in Logistics, Investors in Real estate/proptech, Investors in SaaS, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)
+12"
Tom Humphrey,file:///investors/tom-humphrey,Partner,$1M,"Investors in Missouri, Investors in Oklahoma, Investors in Indiana, Investors in Kentucky, Investors in Illinois, Investors in Iowa, Investors in Idaho, Investors in Kansas, Investors in Nebraska, Investors in Ohio, Investors in New Mexico, Investors in Wyoming, Investors in Montana, Investors in Washington, Investors in Oregon, Investors in Nevada, Investors in Texas, Investors in Arizona, Investors in Utah, Investors in Colorado
+16"
Frank Willemsen,file:///investors/frank-willemsen,Principal,$500K,Investors in SF Bay Area (CA)
Richard Dulude,file:///investors/richard-dulude_1,Principal,$1.5M,"Investors in New York (NY), Investors in Boston (MA)"
Mike Brennan,file:///investors/mike-brennan,Principal,$2.5M,Investors in Europe
Daniel Leff,file:///investors/daniel-leff,Partner,$400K,Investors in San Francisco (CA)
Elodie Jamous,file:///investors/elodie-jamous,Principal,$50K,"Investors in Europe, Investors in London, Investors in United States"
Oleg Mikhalsky,file:///investors/oleg-mikhalsky_1,Partner,$125K,"Investors in Europe, Investors in United States"
Iman Abuzeid,file:///investors/iman-abuzeid,Sweet spot:,$50K,Investors in SF Bay Area (CA)
Ben Williamson,file:///investors/ben-williamson_2,Principal,$250K,"Investors in Midwest, Investors in Nebraska"
Alston Zecha,file:///investors/alston-zecha_1,Principal,$5,"Investors in Israel, Investors in London, Investors in Paris (France), Investors in Berlin, Investors in Munich (Germany), Investors in Milan, Investors in Rome, Investors in Amsterdam, Investors in Brussels, Investors in Valencia (Spain), Investors in Geneva, Investors in Zurich, Investors in Vienna, Investors in Athens (Greece), Investors in Oslo
+11"
Adi Levanon Chazan,file:///investors/adi-levanon_1,Principal,$2.0M,"Investors in Europe, Investors in United States, Investors in Israel"
Melody Koh,file:///investors/melody-koh,Partner,$1M,Investors in New York (NY)
Kim Pasquino,file:///investors/kim-pasquino,Partner,$825K,Investors in Grand Rapids (MI)
Franz Lehmann,file:///investors/franz-lehmann,Principal,$1M,"Investors in AI, Investors in Analytics, Investors in Data services, Investors in Enterprise, Investors in Hardware, Investors in IoT, Investors in Material science, Investors in Robotics, Investors in SaaS, Investors in SMB software
+6"
Conor O'Sullivan,file:///investors/conor_1,Vice President,$3.0M,"Investors in AI, Investors in AI, Investors in Blockchain, Investors in Blockchain, Investors in Cloud infrastructure, Investors in Cloud infrastructure, Investors in Cryptocurrency, Investors in Cryptocurrency, Investors in Developer tools, Investors in Developer tools, Investors in Enterprise, Investors in Enterprise, Investors in IoT, Investors in IoT, Investors in SaaS, Investors in SaaS, Investors in Security, Investors in Security, Investors in Space, Investors in Space, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)
+18"
Lawrence Wu,file:///investors/lawrence-wu,Senior Associate,$500K,"Investors in AgTech, Investors in Biotech, Investors in Clean tech / environment, Investors in Consumer health & fitness, Investors in Consumer products, Investors in Food and beverage, Investors in Impact, Investors in IoT, Investors in Robotics, Investors in SaaS
+7"
Dan Forootan,file:///investors/dan-forootan,Angel,$25K,Investors in SF Bay Area (CA)
Yash Hemaraj,file:///investors/yash-hemaraj,Investor,$2.0M,"Investors in AI, Investors in AR/VR, Investors in Blockchain, Investors in Enterprise, Investors in Food and beverage, Investors in Logistics, Investors in Marketing automation, Investors in Robotics, Investors in SaaS, Investors in Sales and CRM, Investors in San Francisco Bay Area (Other Lists)
+3"
Angela Shi,file:///investors/angela-shi,Investor,$150K,Investors in Sunnyvale (CA)
Scott Kriz,file:///investors/scott-kriz,Investor,$100K,"Investors in Los Angeles / Southern California, Investors in SF Bay Area (CA)"
Lisa Wehden,file:///investors/lisa-wehden,Investor,$500K,"Investors in New York (NY), Investors in SF Bay Area (CA)"
Adam Benayoun,file:///investors/adam-benayoun,Venture Partner,$100K,Investors in Tel Aviv (Israel)
David Feldman,file:///investors/david-feldman,Associate,$1M,"Investors in Portland (OR), Investors in Seattle (WA), Investors in Detroit (MI), Investors in Los Angeles (CA), Investors in San Francisco (CA), Investors in New York (NY), Investors in Boston (MA)"
Dustin Drees,file:///investors/dustin-drees,Senior Associate,$3.0M,"Investors in Advertising, Investors in Advertising, Investors in Developer tools, Investors in Developer tools, Investors in Entertainment & sports, Investors in Entertainment & sports, Investors in Media/content, Investors in Media/content, Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in SaaS, Investors in SaaS
+4"
Austin Poole,file:///investors/austin-poole,Senior Associate,$3.5M,"Investors in Midwest, Investors in Raleigh-Durham / Southeast US"
Charles Naut,file:///investors/charles-naut,Scout,$25K,"Investors in AI, Investors in Developer tools, Investors in Distributed workforce, Investors in Diverse Investors (Other Lists), Investors in Enterprise, Investors in Fintech, Investors in Impact, Investors in Marketplaces, Investors in Payments, Investors in SaaS, Investors in SMB software, Investors in Investors who were founders (Other Lists)
+5"
Natalie Sandman,file:///investors/natalie-sandman_1,$3.0M,$3.0M,"Investors in AI, Investors in AI, Investors in Analytics, Investors in Analytics, Investors in Data services, Investors in Data services, Investors in Developer tools, Investors in Developer tools, Investors in Distributed workforce, Investors in Distributed workforce, Investors in Fintech, Investors in Fintech, Investors in Human capital, Investors in Human capital, Investors in Insurance, Investors in Insurance, Investors in SaaS, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists)
+11"
Matt Oguz,file:///investors/matt-oguz,Sweet spot:,$500K,"Investors in Palo Alto (CA), Investors in San Francisco (CA)"
Brian Spencer Martin,file:///investors/brian-spencer-martin,Senior Associate,$3.0M,"Investors in San Diego (CA), Investors in Los Angeles / Southern California, Investors in Portland (OR), Investors in Oregon, Investors in Seattle (WA), Investors in SF Bay Area (CA), Investors in Canada"
Jeff Bonforte,file:///investors/jeff-bonforte,Sweet spot:,$25K,Investors in San Francisco (CA)
Kristian Andersen,file:///investors/kristian-andersen,Sweet spot:,$500K,"Investors in Enterprise, Investors in Midwest (Other Lists), Investors in SaaS, Investors in Sales and CRM"
Daniel Kaplan,file:///investors/daniel-kaplan,Senior Associate,$2.0M,"Investors in AI, Investors in Analytics, Investors in Consumer health & fitness, Investors in Enterprise, Investors in Health & hospital services, Investors in Health IT, Investors in Marketplaces, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists)
+2"
Crissy Costa,file:///investors/crissy-costa,Senior Associate,$1.5M,Investors in New York (NY)
Sarah Marion,file:///investors/sarah-marion,Analyst,$3.0M,"Investors in Calgary, Investors in New York (NY), Investors in South San Francisco (CA), Investors in SF Bay Area (CA), Investors in San Francisco (CA), Investors in Montreal, Investors in Toronto (Ontario)"
Alec Page,file:///investors/alec-page,Associate,$1.5M,"Investors in Clean tech / environment, Investors in Colorado / Utah (Other Lists), Investors in Consumer health & fitness, Investors in Energy tech, Investors in Fintech, Investors in IoT, Investors in Lodging/hospitality, Investors in Marketing automation, Investors in Real estate/proptech, Investors in SaaS, Investors in Travel
+5"
Daniel Goldberg,file:///investors/daniel-goldberg,Analyst,$3.0M,"Investors in Hong Kong, Investors in United States, Investors in Canada, Investors in Jerusalem (Israel), Investors in Israel, Investors in Tel Aviv (Israel)"
Jonathan Wallace,file:///investors/jonathan-wallace,Investor,$100K,"Investors in Vancouver (BC), Investors in London, Investors in Salt Lake City (UT), Investors in Denver (CO), Investors in New York (NY), Investors in Dallas (TX), Investors in San Francisco (CA), Investors in Los Angeles (CA)
+1"
Rags Gupta,file:///investors/rags-gupta,Angel,$50K,"Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Boston / New England (Other Lists), Investors in Cars / autonomous vehicles, Investors in Clean tech / environment, Investors in Diverse Investors (Other Lists), Investors in Energy tech, Investors in Enterprise, Investors in Female Investors (Other Lists), Investors in Impact, Investors in IoT, Investors in Marketplaces, Investors in Real estate/proptech, Investors in Robotics, Investors in SaaS, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)
+13"
Nadine Torbey,file:///investors/nadine-torbey,Investor,$4.0M,Investors in London
Barry Coffman,file:///investors/barry-coffman,Angel,$20K,"Investors in Massachusetts, Investors in Boston / New England, Investors in Boston (MA)"
Andrew Casey,file:///investors/andrew-casey,Investor,$5,"Investors in Europe, Investors in United States, Investors in Canada, Investors in London, Investors in Boston / New England, Investors in New York, Investors in California, Investors in Texas"
Heather Hasson,file:///investors/heather-hasson,Investor,$250K,Investors in Los Angeles (CA)
Trina Spear,file:///investors/trina-spear,Investor,$250K,Investors in Los Angeles (CA)
Aihui Ong,file:///investors/aihui-ong,Investor,$250K,Investors in San Francisco (CA)
Chris Corbishley,file:///investors/chris-corbishley_1,Investor,$800K,"Investors in AgTech, Investors in AI, Investors in Consumer health & fitness, Investors in E-commerce, Investors in Fintech, Investors in Marketplaces, Investors in SaaS, Investors in SMB software"
Ofir Azury,file:///investors/ofir-azury_1,Investor,$350K,Investors in Israel
Alfonso Aguila,file:///investors/alfonso-aguila,Investor,$1M,Investors in New York
Steven Lamont,file:///investors/steven-lamont,Angel,$25K,Investors in Burlingame (CA)
Douglas Mandic,file:///investors/douglas-mandic,Investor,$300K,Investors in Denver (CO)
Dylan Weening,file:///investors/dylan-weening,Associate,$2.0M,"Investors in Europe, Investors in United States"
Vladimir Glazunov,file:///investors/vladimir-glazunov,Analyst,$1.5M,"Investors in United States, Investors in Europe"
Terrence Rohan,file:///investors/terrence-rohan,Sweet spot:,$500K,Investors in San Francisco (CA)
Steve Hale,file:///investors/steve-hale,Associate,$1M,"Investors in New York (NY), Investors in Seattle / Portland, Investors in Los Angeles (CA), Investors in Arizona, Investors in Idaho, Investors in Colorado, Investors in Utah"
Jonathan Galperin,file:///investors/galperin-jonathan,Associate,$500K,"Investors in Toronto (Ontario), Investors in San Francisco (CA), Investors in Beijing, Investors in Tel Aviv (Israel), Investors in New York"
Yves Sisteron,file:///investors/yves-sisteron,Managing Partner,$1.5M,Investors in Santa Monica (CA)
David Trotter,file:///investors/david-trotter,Managing Director,$150K,Investors in Wisconsin
Marcus Ogawa,file:///investors/marcus-ogawa,Managing Partner,$800K,Investors in Atherton
Nimrod Cohen,file:///investors/nimrod-cohen,Managing Partner,$500K,"Investors in Tel Aviv (Israel), Investors in Israel"
Mark Menell,file:///investors/mark-menell,General Partner,$200K,Investors in SF Bay Area (CA)
Christopher J Rust,file:///investors/christopher-j-rust,General Partner,$2.0M,Investors in SF Bay Area (CA)
Ben Patterson,file:///investors/ben-patterson,Sweet spot:,$750K,"Investors in Developer tools, Investors in E-commerce, Investors in Enterprise, Investors in Marketplaces, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Social mobile"
Vik Chadha,file:///investors/vik-chadha,Sweet spot:,$25K,Investors in United States
Rajeev Madhavan,file:///investors/rajeev-madhavan_1,General Partner,$2.0M,Investors in SF Bay Area (CA)
Austin Arensberg,file:///investors/austin-arensberg_1,Managing Director,$400K,"Investors in Global, Investors in New York (NY), Investors in San Francisco (CA)"
Omri Benayoun,file:///investors/omri-benayoun,General Partner,$200K,Investors in Paris (France)
Cyril Collon,file:///investors/cyril-collon,General Partner,$200K,Investors in Paris (France)
Bruno Crémel,file:///investors/bruno-cremel,General Partner,$200K,Investors in Paris (France)
Emmanuel Delaveau,file:///investors/emmanuel-delaveau,General Partner,$200K,Investors in Paris (France)
Tidjane Dème,file:///investors/tidjane-deme,General Partner,$200K,"Investors in IoT, Investors in SaaS"
Nicolas El Baze,file:///investors/nicolas-el-baze,General Partner,$200K,Investors in SF Bay Area (CA)
Réza Malekzadeh,file:///investors/reza-malekzadeh_1,General Partner,$200K,Investors in SF Bay Area (CA)
Karen Noël,file:///investors/karen-noel,General Partner,$200K,Investors in Paris (France)
Marie Raichvarg,file:///investors/marie-raichvarg,Managing Director,$200K,Investors in Paris (France)
Eric Archambeau,file:///investors/eric-archambeau,General Partner,$200K,Investors in Brussels
Frank Boehnke,file:///investors/frank-boehnke,General Partner,$200K,Investors in Munich (Germany)
Christian Reitberger,file:///investors/christian-reitberger,General Partner,$200K,Investors in Munich (Germany)
Dr. Erich Schlick,file:///investors/dr-erich-schlick,General Partner,$200K,Investors in Germany
Harald Keller,file:///investors/harald-keller,General Partner,$200K,Investors in Zurich
Patrick Polak,file:///investors/patrick-polak,Managing Partner,$500K,Investors in Amsterdam
Frank Claassen,file:///investors/frank-claassen,Managing Partner,$500K,Investors in Amsterdam
Carles Ferrer Roqueta,file:///investors/carles-ferrer-roqueta,General Partner,$500K,Investors in London
Massimiliano Magrini,file:///investors/massimiliano-magrini,Managing Partner,$1M,Investors in Milan
Paolo Gesess,file:///investors/paolo-gesess,Managing Partner,$1M,Investors in Milan
James Earl Brown III,file:///investors/james-earl-brown-iii,General Partner,$1M,Investors in Austin (TX)
Heather Wood,file:///investors/heather-wood,General Partner,$500K,Investors in St. Louis (MO)
Anjli Jain,file:///investors/anjli-jain,Managing Partner,$100K,Investors in Chicago (IL)
Joyce Chung,file:///investors/joyce-chung,Managing Director,$500K,Investors in SF Bay Area (CA)
Dana Wright,file:///investors/dana-wright,Managing Director,$1M,Investors in Chicago (IL)
Sharon Stevenson,file:///investors/sharon-stevenson,Managing Director,$500K,Investors in Orange (CA)
Jon Gosier,file:///investors/jon-gosier,General Partner,$100K,Investors in Philadelphia (PA)
Daniil Grizenkov,file:///investors/daniil-grizenkov,Associate,$1.5M,"Investors in Germany, Investors in Global, Investors in Moscow, Investors in Berlin, Investors in London"
Erik Berg,file:///investors/erik-berg,Analyst,$250K,"Investors in Cleveland (OH), Investors in Columbus (OH)"
Jake Kupperman,file:///investors/jake-kupperman_1,Associate,$500K,"Investors in Canada, Investors in Europe, Investors in United States"
Dana Oshiro,file:///investors/dana-oshiro,General Partner,$500K,"Investors in Cloud infrastructure, Investors in Data services, Investors in Developer tools, Investors in Diverse Investors (Other Lists), Investors in Enterprise, Investors in Female Investors (Other Lists), Investors in Network infrastructure, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)
+5"
Gaurav Manglik,file:///investors/gaurav-manglik,General Partner,$1M,Investors in SF Bay Area (CA)
Clay Whitehead,file:///investors/clay-whitehead,Managing Partner,$2.0M,"Investors in Israel, Investors in Europe, Investors in United States"
James Murphy,file:///investors/james-murphy_1,Managing Director,$100K,"Investors in AI, Investors in Distributed workforce, Investors in Enterprise, Investors in Fintech, Investors in IoT, Investors in Marketplaces, Investors in New York City (Other Lists), Investors in SaaS, Investors in SMB software
+1"
Daniel Lloreda,file:///investors/daniel-lloreda_1,General Partner,$500K,"Investors in Miami (FL), Investors in Latin America, Investors in United States"
Puneet Raj Bhatia,file:///investors/puneet-raj-bhatia,Managing Director,$185K,Investors in London
Sven De Cleyn,file:///investors/sven-de-cleyn,Managing Director,$55K,Investors in Europe
Ryan Broshar,file:///investors/ryan-broshar,General Partner,$500K,"Investors in Boulder (CO), Investors in Denver (CO), Investors in Salt Lake City (UT), Investors in Provo (UT), Investors in Minneapolis (MN), Investors in Indianapolis (IN), Investors in Madison (WI), Investors in Milwaukee (WI), Investors in Detroit (MI), Investors in St. Paul (MN), Investors in Ann Arbor (MI), Investors in Chicago (IL)
+5"
Jason Chapman,file:///investors/jason-chapman,Managing Partner,$500K,"Investors in Europe, Investors in Israel, Investors in United States"
Jeff Stowell,file:///investors/jeff-stowell,Managing Partner,$550K,"Investors in Midwest, Investors in Utah, Investors in Missouri, Investors in Kansas City (MO)"
Adrian Fenty,file:///investors/adrian-fenty,Managing Partner,$500K,"Investors in SF Bay Area (CA), Investors in Los Angeles / Southern California, Investors in Los Angeles (CA), Investors in Menlo Park (CA)"
Chris Marks,file:///investors/chris-marks,Managing Director,$300K,Investors in Boulder (CO)
Matt Lautz,file:///investors/matt-lautz,General Partner,$100K,"Investors in St. Louis (MO), Investors in Detroit (MI), Investors in Chicago (IL), Investors in Midwest"
Andrew Miller,file:///investors/andrew-miller_1,General Partner,$525K,"Investors in SF Bay Area (CA), Investors in Kansas City (MO)"
Chris Deutsch,file:///investors/chris-deutsch,Managing Partner,$505K,Investors in Chicago (IL)
Timothy Cartwright,file:///investors/timothy-cartwright,Managing Director,$500K,"Investors in Florida, Investors in United States"
David Mawhinney,file:///investors/david-mawhinney,Managing Director,$25K,"Investors in SF Bay Area (CA), Investors in Philadelphia (PA)"
Laura González-Estéfani,file:///investors/laura-gonzalez-estefani_1,Managing Partner,$2.5M,"Investors in Madrid (Spain), Investors in Miami Beach (FL), Investors in Latin America, Investors in Miami (FL), Investors in SF Bay Area (CA)"
Nitin Rai,file:///investors/nitin-rai,Managing Partner,$550K,"Investors in Portland (OR), Investors in Seattle / Portland, Investors in Seattle (WA)"
Chauncey Hamilton,file:///investors/chauncey-hamilton,Managing Director,$20K,"Investors in SF Bay Area (CA), Investors in New York (NY), Investors in Boston / New England, Investors in Boston (MA)"
Clay Gordon,file:///investors/clay-gordon,Managing Partner,$500K,Investors in Denver (CO)
Javier Sloninsky,file:///investors/javier-sloninsky,Managing Director,$100K,Investors in Boulder (CO)
Charlie Johnson,file:///investors/charlie-johnson,Managing Director,$125K,Investors in Massachusetts
Chenoa Farnsworth,file:///investors/chenoa-farnsworth_1,Managing Partner,$63K,"Investors in SF Bay Area (CA), Investors in Honolulu (HI), Investors in Hawaii"
Amit Singhal,file:///investors/amit-singhal_1,Managing Partner,$100K,"Investors in SF Bay Area (CA), Investors in Dubai, Investors in India"
Lee Bouyea,file:///investors/lee-bouyea_2,Managing Director,$200K,"Investors in Enterprise, Investors in Marketplaces, Investors in SaaS"
Scott Hartley,file:///investors/scott-hartley,Managing Partner,$1M,"Investors in Latin America, Investors in United States, Investors in New York (NY), Investors in Europe"
Stu Smith,file:///investors/stu-smith_1,Managing Partner,$38K,"Investors in SF Bay Area (CA), Investors in San Francisco (CA)"
Jeff Finkle,file:///investors/jeff-finkle,Managing Partner,$150K,"Investors in Canada, Investors in Israel, Investors in New York (NY), Investors in United States"
Alex Chachava,file:///investors/alex-chachava,Managing Partner,$2.7M,"Investors in Israel, Investors in Europe"
Alfredo Lopez,file:///investors/alfredo-lopez,Managing Partner,$500K,"Investors in Europe, Investors in Latin America, Investors in United States"
Taylor Clauson,file:///investors/taylor-clauson,Managing Partner,$250K,"Investors in Canada, Investors in United States"
Malachi Boyuls,file:///investors/malachi-boyuls,Managing Partner,$25K,"Investors in Austin (TX), Investors in Fort Worth (TX), Investors in Dallas (TX)"
Bryan Frist,file:///investors/bryan-frist,Managing Partner,$350K,"Investors in SF Bay Area (CA), Investors in Nashville (TN)"
Don Burton,file:///investors/don-burton,Managing Partner,$1.1M,"Investors in SF Bay Area (CA), Investors in New York (NY)"
Robert Lair,file:///investors/robert-lair_1,Managing Partner,$25K,"Investors in Burlington (VT), Investors in Vermont"
Vikram Lakhwara,file:///investors/vikram-lakhwara,Managing Partner,$500K,"Investors in Mountain View (CA), Investors in Newark (CA), Investors in Denver (CO), Investors in Seattle (WA), Investors in New York (NY), Investors in San Francisco (CA), Investors in United States"
Eric Rosenblum,file:///investors/eric-rosenblum_1,Managing Partner,$1M,"Investors in Canada, Investors in United States"
Voja Lalich,file:///investors/voja-lalich,General Partner,$50K,"Investors in Europe, Investors in SF Bay Area (CA)"
Tom Chavez,file:///investors/tom-chavez,General Partner,$1M,Investors in SF Bay Area (CA)
Nicole Gunderson,file:///investors/nicole-gunderson,Managing Director,$75K,"Investors in Iowa, Investors in Des Moines (IA)"
Margaret Collins,file:///investors/margaret-collins,Managing Director,$17K,"Investors in Winston-Salem (NC), Investors in North Carolina"
Jean Hammond,file:///investors/jean-hammond,General Partner,$70K,"Investors in Boston / New England, Investors in Boston (MA)"
Joe Kirgues,file:///investors/joe-kirgues,Managing Director,$140K,"Investors in Cincinnati (OH), Investors in Milwaukee (WI), Investors in Madison (WI), Investors in Minneapolis (MN)"
Sanjay Reddy,file:///investors/sanjay-reddy,General Partner,$1.1M,"Investors in Los Angeles / Southern California, Investors in Los Angeles (CA)"
Dan Roselli,file:///investors/dan-roselli_1,Managing Partner,$250K,"Investors in United States, Investors in Charlotte (NC)"
Kelsey Morgan Pasqualichio,file:///investors/kelsey-morgan-pasqualichio,General Partner,$260K,"Investors in Singapore, Investors in Charleston (SC), Investors in New York (NY), Investors in San Diego (CA), Investors in SF Bay Area (CA)"
Jonathan Axelrod,file:///investors/jonathan-axelrod,Managing Director,$100K,Investors in New York (NY)
John Dean,file:///investors/john-dean_1,Managing Partner,$625K,"Investors in Honolulu (HI), Investors in Hawaii, Investors in SF Bay Area (CA)"
Owen Meyer,file:///investors/owen-meyer_1,Managing Partner,$500K,Investors in New York (NY)
Michael Riccio,file:///investors/michael-riccio,Managing Partner,$100K,"Investors in Seattle / Portland, Investors in Seattle (WA)"
Todd Deacon,file:///investors/todd-deacon,Managing Director,$120K,Investors in Global
Cigdem Toraman,file:///investors/cigdem-toraman_2,Managing Director,$90K,"Investors in SF Bay Area (CA), Investors in Istanbul, Investors in Turkey"
Bill Ellison,file:///investors/bill-ellison,Managing Partner,$100K,"Investors in New Orleans (LA), Investors in Baton Rouge (LA), Investors in Louisiana"
Scott Wilson,file:///investors/scott-wilson,Managing Partner,$3.0M,"Investors in Chicago (IL), Investors in New York (NY), Investors in San Francisco (CA), Investors in San Diego (CA), Investors in Sydney (Australia), Investors in Brisbane (Australia), Investors in Melbourne (Australia)
+1"
Len Lanzi,file:///investors/len-lanzi,Managing Partner,$25K,"Investors in Los Angeles / Southern California, Investors in Santa Monica (CA)"
Jui Tan,file:///investors/jui-tan,General Partner,$1.5M,"Investors in China, Investors in Beijing"
Elizabeth Weil,file:///investors/elizabeth-weil,Managing Partner,$375K,Investors in SF Bay Area (CA)
Leah Solivan,file:///investors/leah-solivan,General Partner,$875K,Investors in SF Bay Area (CA)
Noah Berkson,file:///investors/noah-berkson,Managing Partner,$200K,"Investors in London, Investors in Miami (FL), Investors in Chicago (IL), Investors in Los Angeles (CA)"
Whitney Sales,file:///investors/whitney-sales,General Partner,$250K,"Investors in Canada, Investors in United States"
Utsav Somani,file:///investors/utsav-somani,Managing Partner,$150K,Investors in San Francisco (CA)
Shalom Passy,file:///investors/shalom-passy,Managing Partner,$25K,"Investors in AI, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Enterprise, Investors in Entertainment & sports, Investors in Fintech, Investors in IoT, Investors in Marketplaces, Investors in Media/content, Investors in SaaS, Investors in Sales and CRM, Investors in Security, Investors in Investors who were founders (Other Lists)
+5"
Meidad Ben Yochanan,file:///investors/meidad-ben,Managing Director,$2.0M,Investors in Israel
Ankit Agarwal,file:///investors/ankit-agarwal_2,General Partner,$100K,"Investors in Los Angeles (CA), Investors in Atlanta (GA), Investors in Minneapolis (MN), Investors in Portland (OR), Investors in Las Vegas (NV), Investors in Austin (TX), Investors in Seattle (WA), Investors in Denver (CO), Investors in Boston (MA), Investors in New York (NY), Investors in Chicago (IL), Investors in San Francisco (CA)
+5"
Christopher M. Piedmonte,file:///investors/chris-piedmonte,Managing Director,$50K,"Investors in Orlando (FL), Investors in Austin (TX)"
Marco Giberti,file:///investors/marco-giberti,Sweet spot:,$100K,"Investors in Advertising, Investors in Education, Investors in Entertainment & sports, Investors in Lodging/hospitality, Investors in Marketplaces, Investors in Media/content, Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Real estate/proptech, Investors in SaaS, Investors in Travel
+4"
Shashi Kumar,file:///investors/shashi-kumar,Advisor,$1M,Investors in Sunnyvale (CA)
Paul Martino,file:///investors/paul-martino,$1.2M,$1.2M,Investors in Mountain View (CA)
Matt Bornstein,file:///investors/matt-bornstein,Sweet spot:,$2.0M,"Investors in Seattle (WA), Investors in Boston (MA), Investors in New York (NY), Investors in Los Angeles (CA), Investors in San Francisco (CA)"
Paul Bragiel,file:///investors/paul-bragiel,$150K,$150K,Investors in San Francisco (CA)
Eddie Thai,file:///investors/edward-thai,Partner,$100K,"Investors in AI, Investors in Distributed workforce, Investors in Diverse Investors (Other Lists), Investors in Education, Investors in Enterprise, Investors in Fintech, Investors in Human capital, Investors in Impact, Investors in Logistics, Investors in SaaS, Investors in SMB software, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)
+5"
Bipin BA,file:///investors/bipin-ba,Senior Associate,$100K,"Investors in India, Investors in SF Bay Area (CA)"
Deborah Chu,file:///investors/deborah-chu,Senior Associate,$1.5M,Investors in United States
Amanda Joseph,file:///investors/amanda-joseph,Senior Associate,$500K,Investors in United States
Temur Turdibekov,file:///investors/temur-turdibekov,Associate,$700K,"Investors in Advertising, Investors in AI, Investors in AR/VR, Investors in Blockchain, Investors in Fintech, Investors in Insurance, Investors in IoT, Investors in Marketing automation, Investors in Payments, Investors in SaaS
+1"
Corey Pigott,file:///investors/corey-pigott_1,Associate,$100K,Investors in San Francisco (CA)
Pavel Asanov,file:///investors/pavel-asanov,Sweet spot:,$5K,"Investors in Analytics, Investors in AR/VR, Investors in Blockchain, Investors in Cars / autonomous vehicles, Investors in Clean tech / environment, Investors in Fintech, Investors in Games, Investors in Hardware, Investors in New York City (Other Lists), Investors in SaaS
+3"
Nitya Rajendran,file:///investors/nitya-rajendran,Associate,$3.0M,Investors in New York (NY)
Remo Mahler,file:///investors/remo-mahler_1,Analyst,$2.0M,"Investors in AI, Investors in Cars / autonomous vehicles, Investors in Clean tech / environment, Investors in Energy tech, Investors in IoT, Investors in Network infrastructure, Investors in SaaS"
Hari Raghavan,file:///investors/hari-raghavan,Sweet spot:,$10K,Investors in SF Bay Area (CA)
Michael Maziar,file:///investors/michael-maziar,$50K,$50K,"Investors in Utah, Investors in Colorado, Investors in Georgia"
Steve Barham,file:///investors/steve-barham,Sweet spot:,$25K,"Investors in New York (NY), Investors in Seattle (WA), Investors in Salt Lake City (UT), Investors in San Diego (CA), Investors in Los Angeles (CA), Investors in San Francisco (CA), Investors in Portland (OR)"
Eric Chin,file:///investors/eric-chin,$4.0M,$4.0M,Investors in Palo Alto (CA)
Liron Rose,file:///investors/liron-rose,$100K,$100K,Investors in Israel
John Vecchio,file:///investors/john-vecchio,Partner,$500K,"Investors in Raleigh-Durham / Southeast US, Investors in Atlanta (GA)"
Brandon Beck,file:///investors/brandon-beck,Principal,$1M,"Investors in Montana, Investors in Wyoming, Investors in Idaho, Investors in Nevada, Investors in Arizona, Investors in New Mexico, Investors in Colorado, Investors in Utah"
Jon Levy,file:///investors/jon-levy,Partner,$125K,Investors in SF Bay Area (CA)
Idan Nurick,file:///investors/idan-nurick,Sweet spot:,$500K,Investors in Tel Aviv (Israel)
Shivon Zillis,file:///investors/shivon-zillis,Partner,$1.2M,Investors in San Francisco (CA)
Aaron Harris,file:///investors/aaron-harris,Partner,$125K,Investors in SF Bay Area (CA)
Aaron Epstein,file:///investors/aaron-epstein,Partner,$125K,Investors in SF Bay Area (CA)
David Whorton,file:///investors/david-whorton,Partner,$700K,Investors in San Francisco (CA)
